,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
1604,Farming,female,Philippines,PH,not shared,field_partner,14,400,English,monthly,Agriculture,funded,7,0.09
1605,Retail,female,Togo,TG,shared,field_partner,19,600,French,monthly,Retail,funded,14,0.067
1606,Farming,female,Kenya,KE,shared,field_partner,4,100,English,monthly,Agriculture,funded,8,0.02
1607,Home Appliances,group,Cambodia,KH,shared,field_partner,3,125,English,monthly,Personal Use,funded,8,0.121
1608,Fuel/Firewood,female,Kenya,KE,shared,field_partner,7,200,English,monthly,Retail,funded,14,0.223
1609,Pigs,group,Indonesia,ID,shared,field_partner,36,1475,English,irregular,Agriculture,funded,8,0.042
1610,Retail,female,Togo,TG,shared,field_partner,9,625,French,monthly,Retail,funded,14,0.067
1611,General Store,female,Pakistan,PK,shared,field_partner,5,950,English,monthly,Retail,not_funded,14,0.039
1612,Services,group,Peru,PE,shared,field_partner,23,1900,Spanish,irregular,Services,funded,6,0
1613,Milk Sales,female,Pakistan,PK,shared,field_partner,18,450,English,monthly,Food,funded,14,0.039
1614,Agriculture,male,Nicaragua,NI,not shared,field_partner,9,675,Spanish,bullet,Agriculture,funded,15,0.161
1615,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,24,600,English,irregular,Housing,funded,60,0.075
1616,Clothing Sales,female,Peru,PE,shared,field_partner,1,950,Spanish,irregular,Clothing,funded,6,0.062
1617,Home Appliances,female,Kenya,KE,shared,field_partner,3,75,English,monthly,Personal Use,funded,13,0.02
1618,Retail,female,Madagascar,MG,shared,field_partner,18,450,French,monthly,Retail,funded,8,0.357
1619,Cereals,female,Sierra Leone,SL,shared,field_partner,36,950,English,monthly,Food,funded,8,0.537
1620,Natural Medicines,female,El Salvador,SV,shared,field_partner,11,500,Spanish,monthly,Health,funded,14,0.03
1621,Food Production/Sales,group,Guatemala,GT,shared,field_partner,14,1200,Spanish,monthly,Food,not_funded,10,0.082
1622,Clothing Sales,group,Guatemala,GT,shared,field_partner,30,1050,Spanish,monthly,Clothing,funded,14,0.067
1623,Food,group,Sierra Leone,SL,shared,field_partner,43,1900,English,monthly,Food,funded,8,0.319
1624,Food,group,Peru,PE,shared,field_partner,16,2675,Spanish,irregular,Food,funded,6,0
1625,Musical Instruments,female,Indonesia,ID,not shared,field_partner,19,500,English,bullet,Arts,funded,10,0.042
1626,Clothing Sales,female,Peru,PE,shared,field_partner,7,175,Spanish,irregular,Clothing,funded,6,0.069
1627,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,5,1500,Spanish,monthly,Housing,not_funded,32,0.054
1628,Clothing Sales,female,Ecuador,EC,not shared,field_partner,5,1225,Spanish,irregular,Clothing,funded,8,0.054
1629,Farming,female,Cambodia,KH,not shared,field_partner,35,1200,English,monthly,Agriculture,funded,14,0.204
1630,Poultry,male,El Salvador,SV,not shared,field_partner,18,600,Spanish,monthly,Agriculture,funded,14,0.113
1631,Retail,female,Peru,PE,shared,field_partner,17,850,Spanish,monthly,Retail,funded,8,0.062
1632,Retail,group,Dominican Republic,DO,shared,field_partner,46,1225,English,irregular,Retail,funded,7,0.039
1633,Charcoal Sales,female,Cambodia,KH,not shared,field_partner,9,250,English,monthly,Retail,funded,1 Year,0.696
1634,Clothing Sales,female,Colombia,CO,shared,field_partner,19,525,Spanish,bullet,Clothing,funded,20,0.005
1635,General Store,female,Philippines,PH,shared,field_partner,16,475,English,irregular,Retail,funded,8,0.054
1636,Home Appliances,group,Cambodia,KH,shared,field_partner,8,200,English,monthly,Personal Use,funded,8,0.12
1637,Home Products Sales,male,Egypt,EG,shared,field_partner,26,1300,English,monthly,Retail,funded,14,0.022
1638,Farming,group,Cambodia,KH,shared,field_partner,29,925,English,monthly,Agriculture,funded,13,0.274
1639,Restaurant,female,Colombia,CO,shared,field_partner,13,325,Spanish,bullet,Food,funded,15,0.005
1640,Retail,female,Colombia,CO,shared,field_partner,16,1575,Spanish,monthly,Retail,not_funded,20,0.009
1641,Grocery Store,female,El Salvador,SV,not shared,field_partner,18,550,Spanish,monthly,Food,funded,14,0.201
1642,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.353
1643,Fishing,male,Cambodia,KH,not shared,field_partner,12,300,English,monthly,Food,funded,14,0.121
1644,Food Production/Sales,female,El Salvador,SV,shared,field_partner,33,1000,Spanish,monthly,Food,not_funded,14,0.054
1645,Home Appliances,group,Cambodia,KH,shared,field_partner,2,175,English,monthly,Personal Use,funded,8,0.196
1646,Transportation,male,Bolivia,BO,shared,field_partner,22,750,Spanish,monthly,Transportation,not_funded,14,0.077
1647,Higher education costs,male,Tajikistan,TJ,shared,field_partner,17,525,English,monthly,Education,funded,14,0.033
1648,Farming,female,Nicaragua,NI,not shared,field_partner,20,650,Spanish,bullet,Agriculture,funded,14,0.161
1649,Restaurant,male,Peru,PE,shared,field_partner,4,775,Spanish,irregular,Food,funded,6,0.062
1650,Food Stall,female,Colombia,CO,shared,field_partner,15,575,Spanish,bullet,Food,not_funded,14,0.005
1651,Clothing Sales,female,Tajikistan,TJ,shared,field_partner,27,700,Russian,monthly,Clothing,funded,1 Year,0.086
1652,Cloth & Dressmaking Supplies,female,Tajikistan,TJ,not shared,field_partner,35,1200,English,monthly,Retail,funded,11,0.021
1653,Agriculture,female,El Salvador,SV,shared,field_partner,26,900,Spanish,monthly,Agriculture,funded,20,0.077
1654,Beauty Salon,female,Lebanon,LB,not shared,field_partner,56,1500,English,monthly,Services,funded,17,0.003
1655,Personal Expenses,female,Nicaragua,NI,shared,field_partner,21,700,Spanish,monthly,Personal Use,funded,15,0.108
1656,Transportation,male,Bolivia,BO,shared,field_partner,6,750,English,irregular,Transportation,funded,7,0.077
1657,Charcoal Sales,female,Togo,TG,shared,field_partner,19,525,French,irregular,Retail,funded,11,0.067
1658,Pharmacy,male,Guatemala,GT,not shared,field_partner,33,875,Spanish,monthly,Health,funded,14,0.082
1659,General Store,female,Philippines,PH,not shared,field_partner,6,200,English,irregular,Retail,funded,11,0.093
1660,Shoe Sales,male,Pakistan,PK,shared,field_partner,23,975,English,monthly,Retail,not_funded,14,0.184
1661,Fishing,female,Philippines,PH,shared,field_partner,12,525,English,irregular,Food,funded,8,0.091
1662,Farming,male,Cambodia,KH,shared,field_partner,49,1475,English,monthly,Agriculture,funded,26,0.16
1663,Food Market,group,The Democratic Republic of the Congo,CD,shared,field_partner,20,500,French,monthly,Food,funded,8,0.164
1664,Pharmacy,female,Liberia,LR,shared,field_partner,54,1375,English,monthly,Health,funded,14,0.036
1665,Cloth & Dressmaking Supplies,female,Tajikistan,TJ,shared,field_partner,21,525,English,monthly,Retail,funded,20,0.086
1666,Animal Sales,female,Pakistan,PK,shared,field_partner,13,450,English,monthly,Agriculture,funded,14,0.184
1667,Retail,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Retail,funded,5,0.02
1668,Mobile Transactions,male,Zambia,ZM,shared,field_partner,44,3800,English,bullet,Services,not_funded,11,0.112
1669,Personal Medical Expenses,female,Lebanon,LB,not shared,field_partner,64,1700,English,monthly,Health,funded,20,0.003
1670,Taxi,male,Yemen,YE,shared,field_partner,61,5125,English,monthly,Transportation,not_funded,20,0.057
1671,Grocery Store,female,Honduras,HN,shared,field_partner,13,325,Spanish,monthly,Food,funded,8,0.112
1672,General Store,female,Pakistan,PK,shared,field_partner,18,450,English,monthly,Retail,funded,15,0.184
1673,Home Appliances,group,Cambodia,KH,shared,field_partner,11,300,English,monthly,Personal Use,funded,14,0.121
1674,Fruits & Vegetables,male,Kenya,KE,shared,field_partner,4,400,English,monthly,Food,not_funded,14,0.075
1675,Pigs,female,Indonesia,ID,not shared,field_partner,4,275,Indonesian,monthly,Agriculture,funded,14,0.042
1676,Spare Parts,male,Tajikistan,TJ,not shared,field_partner,100,3000,English,monthly,Retail,funded,7,0.021
1677,Agriculture,female,Peru,PE,shared,field_partner,2,400,Spanish,monthly,Agriculture,funded,1 Year,0.071
1678,Mobile Phones,group,Burkina Faso,BF,shared,field_partner,28,700,French,monthly,Retail,funded,8,0.554
1679,Farming,female,Nigeria,NG,shared,field_partner,2,200,English,bullet,Agriculture,funded,19,0.311
1680,Restaurant,female,Uganda,UG,shared,field_partner,11,275,English,irregular,Food,funded,5,0.013
1681,Cattle,female,El Salvador,SV,shared,field_partner,25,700,Spanish,bullet,Agriculture,funded,14,0.054
1682,Food Market,female,El Salvador,SV,not shared,field_partner,25,750,Spanish,monthly,Food,funded,1 Year,0.054
1683,Farming,male,Peru,PE,shared,field_partner,52,1450,Spanish,monthly,Agriculture,funded,20,0.038
1684,Livestock,female,Tajikistan,TJ,shared,field_partner,57,1575,Russian,monthly,Agriculture,funded,14,0.086
1685,Farming,female,Cambodia,KH,not shared,field_partner,3,400,English,monthly,Agriculture,funded,14,0.12
1686,Home Appliances,group,Cambodia,KH,shared,field_partner,6,150,English,monthly,Personal Use,funded,8,0.12
1687,Taxi,group,Uganda,UG,shared,field_partner,49,1950,English,monthly,Transportation,funded,14,0.346
1688,General Store,female,Philippines,PH,shared,field_partner,4,225,English,irregular,Retail,funded,7,0.029
1689,Motorcycle Transport,female,Cambodia,KH,not shared,field_partner,37,1200,English,monthly,Transportation,funded,22,0.16
1690,General Store,female,Colombia,CO,not shared,field_partner,21,1550,Spanish,monthly,Retail,not_funded,26,0.005
1691,General Store,female,Philippines,PH,shared,field_partner,12,400,English,irregular,Retail,funded,14,0.055
1692,Cosmetics Sales,female,Jordan,JO,shared,field_partner,29,1275,English,monthly,Retail,not_funded,21,0.005
1693,Retail,female,Philippines,PH,shared,field_partner,3,75,English,irregular,Retail,funded,8,0.055
1694,Home Energy,female,Haiti,HT,shared,field_partner,12,300,English,monthly,Personal Use,funded,73,0.249
1695,Farm Supplies,group,Guatemala,GT,shared,field_partner,81,2200,Spanish,bullet,Agriculture,funded,14,0.067
1696,Fish Selling,group,The Democratic Republic of the Congo,CD,shared,field_partner,3,7350,French,irregular,Food,funded,6,0.034
1697,General Store,female,Pakistan,PK,shared,field_partner,7,300,English,monthly,Retail,funded,14,0.039
1698,Motorcycle Transport,male,Kenya,KE,shared,field_partner,10,500,English,irregular,Transportation,funded,14,0.223
1699,Retail,male,Colombia,CO,shared,field_partner,5,1275,Spanish,bullet,Retail,not_funded,21,0.005
1700,Poultry,female,Zimbabwe,ZW,shared,field_partner,17,500,English,monthly,Agriculture,funded,14,0.14
1701,Crafts,male,El Salvador,SV,not shared,field_partner,16,500,Spanish,monthly,Arts,funded,14,0.077
1702,Retail,male,Colombia,CO,shared,field_partner,8,700,Spanish,bullet,Retail,not_funded,20,0.005
1703,Poultry,male,Kenya,KE,shared,field_partner,18,500,English,irregular,Agriculture,funded,7,0.075
1704,Higher education costs,male,Tajikistan,TJ,shared,field_partner,8,525,English,monthly,Education,funded,14,0.086
1705,Restaurant,female,Kenya,KE,shared,field_partner,20,550,English,monthly,Food,funded,14,0.02
1706,Retail,female,Philippines,PH,shared,field_partner,5,200,English,irregular,Retail,funded,14,0.055
1707,Food Production/Sales,female,Philippines,PH,shared,field_partner,14,350,English,irregular,Food,funded,8,0.039
1708,Personal Housing Expenses,male,Yemen,YE,shared,field_partner,34,950,English,monthly,Housing,funded,13,0.2
1709,Vehicle,male,Cambodia,KH,not shared,field_partner,17,500,English,monthly,Personal Use,funded,14,0.16
1710,Sewing,female,Bolivia,BO,shared,field_partner,36,1025,Spanish,monthly,Services,funded,14,0.077
1711,Retail,female,Ecuador,EC,not shared,field_partner,29,1375,Spanish,irregular,Retail,funded,6,0.054
1712,Food Production/Sales,female,Nicaragua,NI,shared,field_partner,6,500,English,monthly,Food,funded,14,0.077
1713,Crafts,female,Peru,PE,shared,field_partner,51,1400,Spanish,monthly,Arts,funded,8,0.062
1714,Pharmacy,female,Peru,PE,shared,field_partner,15,375,Spanish,monthly,Health,funded,8,0.071
1715,Clothing Sales,group,Sierra Leone,SL,not shared,field_partner,41,1125,English,monthly,Clothing,funded,1 Year,0.423
1716,Food Stall,female,Nicaragua,NI,shared,field_partner,8,400,Spanish,monthly,Food,funded,11,0.161
1717,Food Production/Sales,female,Ghana,GH,not shared,field_partner,20,650,English,monthly,Food,funded,11,0.058
1718,Livestock,male,Egypt,EG,shared,field_partner,5,175,English,monthly,Agriculture,funded,14,0.022
1719,Pigs,female,Indonesia,ID,not shared,field_partner,19,525,Indonesian,monthly,Agriculture,funded,8,0.042
1720,Cereals,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,8,0.223
1721,Home Energy,male,Kenya,KE,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.19
1722,Recycled Materials,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Retail,funded,8,0.055
1723,Home Appliances,group,Cambodia,KH,shared,field_partner,9,225,English,monthly,Personal Use,funded,8,0.353
1724,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,6,800,Spanish,monthly,Housing,not_funded,26,0.054
1725,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,13,525,English,bullet,Education,funded,15,0.311
1726,Farming,group,Cambodia,KH,shared,field_partner,17,525,English,monthly,Agriculture,funded,14,0.097
1727,Clothing Sales,group,Peru,PE,shared,field_partner,31,1575,Spanish,irregular,Clothing,funded,6,0
1728,Butcher Shop,female,Madagascar,MG,shared,field_partner,23,950,French,irregular,Food,funded,9,0.357
1729,Crafts,female,Peru,PE,not shared,field_partner,42,1150,Spanish,monthly,Arts,funded,7,0.071
1730,General Store,female,The Democratic Republic of the Congo,CD,not shared,field_partner,2,800,English,irregular,Retail,funded,7,0.102
1731,Farming,group,Cambodia,KH,shared,field_partner,19,1000,English,monthly,Agriculture,funded,14,0.121
1732,Agriculture,female,Bolivia,BO,shared,field_partner,52,1500,Spanish,monthly,Agriculture,funded,33,0.105
1733,Food Market,male,Kenya,KE,shared,field_partner,9,250,English,monthly,Food,funded,8,0.02
1734,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,22,1950,Spanish,monthly,Housing,not_funded,38,0.036
1735,Pigs,female,Vietnam,VN,not shared,field_partner,16,425,English,irregular,Agriculture,funded,14,0.013
1736,Personal Housing Expenses,male,Cambodia,KH,not shared,field_partner,28,1000,English,monthly,Housing,funded,22,0.16
1737,Construction,female,Nicaragua,NI,shared,field_partner,26,725,Spanish,monthly,Construction,funded,20,0.161
1738,Food,female,Philippines,PH,shared,field_partner,11,400,English,irregular,Food,funded,8,0.029
1739,Souvenir Sales,female,Cambodia,KH,not shared,field_partner,5,200,English,monthly,Retail,funded,14,0.196
1740,Restaurant,female,Sierra Leone,SL,shared,field_partner,19,1400,English,monthly,Food,not_funded,14,0.319
1741,Jewelry,female,Nicaragua,NI,shared,field_partner,6,700,Spanish,monthly,Retail,not_funded,14,0.112
1742,Rickshaw,female,Pakistan,PK,shared,field_partner,15,400,English,monthly,Transportation,funded,14,0.039
1743,General Store,female,Philippines,PH,shared,field_partner,6,225,English,irregular,Retail,funded,8,0.055
1744,Beauty Salon,female,Uganda,UG,shared,field_partner,5,125,English,irregular,Services,funded,8,0.013
1745,Clothing Sales,female,Zimbabwe,ZW,shared,field_partner,13,500,English,irregular,Clothing,funded,8,0.014
1746,General Store,female,Philippines,PH,shared,field_partner,4,150,English,irregular,Retail,funded,8,0.055
1747,Furniture Making,female,Philippines,PH,shared,field_partner,10,400,English,irregular,Manufacturing,funded,8,0.055
1748,Personal Expenses,male,Nicaragua,NI,not shared,field_partner,12,425,Spanish,monthly,Personal Use,funded,14,0.112
1749,Farming,female,Peru,PE,shared,field_partner,15,375,Spanish,monthly,Agriculture,funded,10,0.071
1750,Fruits & Vegetables,female,Uganda,UG,shared,field_partner,11,325,English,irregular,Food,funded,7,0.013
1751,Food Production/Sales,group,Guatemala,GT,shared,field_partner,113,5175,English,monthly,Food,funded,1 Year,0.067
1752,Grocery Store,female,Nicaragua,NI,shared,field_partner,20,500,Spanish,irregular,Food,funded,7,0.161
1753,Grocery Store,female,Peru,PE,not shared,field_partner,36,950,Spanish,monthly,Food,funded,8,0.071
1754,Food Stall,female,Sierra Leone,SL,shared,field_partner,7,200,English,irregular,Food,funded,11,0.449
1755,Clothing Sales,male,Kenya,KE,shared,field_partner,9,225,English,irregular,Clothing,funded,14,0.075
1756,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,6,200,English,monthly,Food,funded,14,0.02
1757,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.204
1758,General Store,female,Uganda,UG,shared,field_partner,3,150,English,irregular,Retail,funded,8,0.013
1759,Cafe,female,Cambodia,KH,not shared,field_partner,26,1000,English,monthly,Food,funded,20,0.196
1760,Restaurant,female,Uganda,UG,shared,field_partner,7,175,English,irregular,Food,funded,6,0.013
1761,Poultry,group,Uganda,UG,not shared,field_partner,46,2000,English,monthly,Agriculture,funded,14,0.013
